time,packets
0,0.016666667
2,0.016666667
4,0.016666667
6,0.013888889
8,0.016666667
10,0.016666667
12,0.016666667
14,0.013888889
16,0.016666667
18,0.016666667
20,0.016666667
22,0.013888889
24,0.016666667
26,0.016666667
28,0.016666667
30,0.016666667
32,0.013888889
34,0.016666667
36,0.016666667
38,0.016666667
40,0.013888889
42,0.016666667
44,0.016666667
46,0.016666667
48,0.013888889
50,0.016666667
52,0.016666667
54,0.016666667
56,0.013888889
58,0.016666667
60,0.016666667
62,0.016666667
64,0.013888889
66,0.016666667
68,0.016666667
70,0.016666667
72,0.013888889
74,0.016666667
76,0.016666667
78,0.016666667
80,0.016666667
82,0.013888889
84,0.016666667
86,0.016666667
88,0.016666667
90,0.013888889
92,0.016666667
94,0.016666667
96,0.016666667
98,0.013888889
100,0.016666667
102,0.016666667
104,0.016666667
106,0.013888889
108,0.016666667
110,0.016666667
112,0.016666667
114,0.013888889
116,0.016666667
118,0.016666667
120,0.016666667
122,0.013888889
124,0.016666667
126,0.016666667
128,0.016666667
130,0.016666667
132,0.013888889
134,0.016666667
136,0.016666667
138,0.015151515
140,0.015277778
142,0.016666667
144,0.016666667
146,0.016666667
148,0.013888889
150,0.016666667
152,0.016666667
154,0.016666667
156,0.013888889
158,0.016666667
160,0.016666667
162,0.016666667
164,0.013888889
166,0.016666667
168,0.016666667
170,0.016666667
172,0.016666667
174,0.013888889
176,0.016666667
178,0.016666667
180,0.016666667
182,0.013888889
184,0.016666667
186,0.016666667
188,0.016666667
190,0.013888889
192,0.016666667
194,0.016666667
196,0.016666667
198,0.013888889
200,0.016666667
202,0.016666667
204,0.016666667
206,0.013888889
208,0.016666667
210,0.016666667
212,0.016666667
214,0.013888889
216,0.016666667
218,0.016666667
220,0.016666667
222,0.016666667
224,0.013888889
226,0.016666667
228,0.016666667
230,0.016666667
232,0.013888889
234,0.016666667
236,0.016666667
238,0.016666667
240,0.013888889
242,0.016666667
244,0.016666667
246,0.016666667
248,0.013888889
250,0.016666667
252,0.016666667
254,0.016666667
256,0.013888889
258,0.016666667
260,0.016666667
262,0.016666667
264,0.013888889
266,0.016666667
268,0.016666667
270,0.016666667
272,0.016666667
274,0.013888889
276,0.016666667
278,0.016666667
280,0.016666667
282,0.013888889
284,0.016666667
286,0.016666667
288,0.016666667
290,0.013888889
292,0.016666667
294,0.016666667
296,0.016666667
298,0.013888889
300,0.016666667
302,0.016666667
304,0.016666667
306,0.015151515
308,0.016666667
310,0.016666667
312,0.016666667
314,0.013888889
316,0.016666667
318,0.016666667
320,0.016666667
322,0.016666667
324,0.013888889
326,0.016666667
328,0.016666667
330,0.016666667
332,0.013636364
334,0.016666667
336,0.016666667
338,0.016666667
340,0.013888889
342,0.016666667
344,0.016666667
346,0.016666667
348,0.013888889
350,0.016666667
352,0.016666667
354,0.016666667
356,0.013888889
358,0.016666667
360,0.016666667
362,0.016666667
364,0.013888889
366,0.016666667
368,0.016666667
370,0.016666667
372,0.158333333
374,0.630555556
376,0.577777778
378,0.698611111
380,0.684722222
382,0.645833333
384,0.690277778
386,0.680555556
388,0.676388889
390,0.658333333
392,0.668055556
394,0.65
396,0.675
398,0.643055556
400,0.6375
402,0.765277778
404,0.661111111
406,0.622222222
408,0.655555556
410,0.648611111
412,0.675
414,0.877777778
416,0.844444444
418,0.695833333
420,0.661111111
422,0.690277778
424,0.722222222
426,0.694444444
428,0.6625
430,0.463888889
432,0.569444444
434,0.509722222
436,0.534722222
438,0.469444444
440,0.498611111
442,0.481944444
444,0.506944444
446,0.515277778
448,0.515277778
450,0.570833333
452,0.618055556
454,0.581944444
456,0.591666667
458,0.588888889
460,1.176388889
462,0.951388889
464,1.244444444
466,1.086111111
468,1.023611111
470,0.8375
472,0.995833333
474,1.007575758
476,0.465277778
478,0.01969697
480,0.018055556
482,0.013888889
484,0.016666667
486,0.016666667
488,0.016666667
490,0.013888889
492,0.016666667
494,0.016666667
496,0.016666667
498,0.013888889
500,0.016666667
502,0.020833333
504,0.016666667
506,0.013888889
508,0.016666667
510,0.016666667
512,0.016666667
514,0.013888889
516,0.016666667
518,0.016666667
520,0.016666667
522,0.016666667
524,0.013888889
526,0.016666667
528,0.016666667
530,0.016666667
532,0.013888889
534,0.016666667
536,0.016666667
538,0.016666667
540,0.013888889
542,0.016666667
544,0.016666667
546,0.016666667
548,0.013888889
550,0.016666667
552,0.016666667
554,0.016666667
556,0.013888889
558,0.016666667
560,0.016666667
562,0.016666667
564,0.013888889
566,0.016666667
